,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
287,80,0.0,3366,9.173121837000508,"[2, 1, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 0, 1, 0, 2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 1, 0, 2, 2, 0, 1, 0, 1, 0, 0, 0]",100,80,41
288,0,0.0,3366,9.244996458997775,"[2, 0, 2, 0, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 2, 0, 1, 1, 1, 1, 2, 2, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 2, 2, 2, 1, 0, 0, 1, 0, 1, 0]",100,80,42
289,80,0.0,3446,9.502544189999753,"[2, 0, 2, 0, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 2, 0, 1, 1, 1, 1, 2, 2, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 2, 2, 2, 1, 0, 0, 1, 0, 1, 0]",100,80,42
290,0,0.0,3446,9.572035434997815,"[1, 1, 2, 2, 0, 2, 0, 1, 2, 2, 2, 1, 0, 1, 1, 2, 0, 1, 2, 1, 1, 2, 2, 0, 1, 2, 2, 0, 0, 2, 0, 2, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 0, 2, 1, 0, 2, 2]",100,80,43
291,80,0.0,3526,9.844855503997678,"[1, 1, 2, 2, 0, 2, 0, 1, 2, 2, 2, 1, 0, 1, 1, 2, 0, 1, 2, 1, 1, 2, 2, 0, 1, 2, 2, 0, 0, 2, 0, 2, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 0, 2, 1, 0, 2, 2]",100,80,43
292,0,0.0,3526,9.914750542997353,"[0, 0, 1, 1, 2, 0, 2, 1, 1, 1, 0, 0, 1, 2, 2, 1, 2, 1, 2, 1, 2, 0, 1, 1, 2, 1, 1, 1, 0, 0, 2, 0, 2, 0, 2, 0, 0, 2, 1, 1, 0, 2, 1, 2, 1, 2, 0, 2, 1, 0]",100,80,44
293,80,0.0,3606,10.191832287997386,"[0, 0, 1, 1, 2, 0, 2, 1, 1, 1, 0, 0, 1, 2, 2, 1, 2, 1, 2, 1, 2, 0, 1, 1, 2, 1, 1, 1, 0, 0, 2, 0, 2, 0, 2, 0, 0, 2, 1, 1, 0, 2, 1, 2, 1, 2, 0, 2, 1, 0]",100,80,44
294,0,0.0,3606,10.26616085400019,"[0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 2, 0, 2, 2, 0, 0, 1, 2, 1, 0, 2, 1, 1, 1, 0, 0, 0, 2, 0, 2, 1, 1, 0, 1, 0, 2, 1, 0, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 0, 2]",100,80,45
295,80,0.0,3686,10.554125236998516,"[0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 2, 0, 2, 2, 0, 0, 1, 2, 1, 0, 2, 1, 1, 1, 0, 0, 0, 2, 0, 2, 1, 1, 0, 1, 0, 2, 1, 0, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 0, 2]",100,80,45
296,0,0.0,3686,10.6276340589975,"[1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 2, 0, 1, 1, 0, 0, 2, 2, 1, 2, 2, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 0, 0, 1, 0, 2]",100,80,46
